Ana Silva,12345678901,22,1,3000.0,15000.0
Luciano Perigolo,12345678902,43,2,6489.0,86000.0
Huguinho Disney,01123456789,8,0,2000.0,5000.0
Luiza Saraiva,11122435682,27,1,4098.0,112000.0
Luiz Roberto,01123456742,67,3,10000.0,224000.0
MIchael Mora,56436789012,42,1,5000.0,120000.0
Vo Chico,56436789013,67,2,5000.0,120000.0
Vó Nenem,56436789657,72,5,5000.0,128000.0
Julio Machado,12345432123,36,1,3000.0,66000.0
Jaques Kauer,56743219876,22,0,23400.0,212000.0
Manoel Leitao,12343432096,44,3,25000.0,120000.0
Mariana Kents,67478542091,72,5,30000.0,180000.0
Teste Dados,12345432124,36,1,3000.0,66000.0
